requirement,fretish-timing
UC5_R_1,eventually
UC5_R_2,eventually
UC5_R_3,eventually
UC5_R_4,eventually
UC5_R_5,eventually
UC5_R_6,eventually
UC5_R_7,eventually
UC5_R_8,eventually
UC5_R_9,eventually
UC5_R_10,eventually
UC5_R_11,eventually
UC5_R_12,eventually
UC5_R_13,eventually
UC5_R_14,eventually
UC5_R_1.1,"until (diff(r(i),y(i)) < e)"
UC5_R_1.2,"until (diff(r(i),y(i)) < e)"
UC5_R_1.3,"until (diff(r(i),y(i)) < e)"
UC5_R_2.1,"until (diff(r(i),y(i)) < e)"
UC5_R_2.2,"until (diff(r(i),y(i)) < e)"
UC5_R_2.3,"until (diff(r(i),y(i)) < e)"
UC5_R_3.1,"until (diff(r(i),y(i)) < e)"
UC5_R_4.1,"until (diff(r(i),y(i)) < e)"
UC5_R_5.1,"until (diff(r(i),y(i)) < e)"
UC5_R_5.2,"until (diff(r(i),y(i)) < e)"
UC5_R_5.3,"until (diff(r(i),y(i)) < e)"
UC5_R_6.1,"until (diff(r(i),y(i)) < e)"
UC5_R_6.2,"until (diff(r(i),y(i)) < e)"
UC5_R_6.3,"until (diff(r(i),y(i)) < e)"
UC5_R_7.1,"until (diff(r(i),y(i)) < e)"
UC5_R_8.1,"until (diff(r(i),y(i)) < e)"
UC5_R_9.1,"until (diff(r(i),y(i)) < e)"
UC5_R_9.2,"until (diff(r(i),y(i)) < e)"
UC5_R_9.3,"until (diff(r(i),y(i)) < e)"
UC5_R_10.1,"until (diff(r(i),y(i)) < e)"
UC5_R_10.2,"until (diff(r(i),y(i)) < e)"
UC5_R_10.3,"until (diff(r(i),y(i)) < e)"
UC5_R_11.1,"until (diff(r(i),y(i)) < e)"
UC5_R_12.1,"until (diff(r(i),y(i)) < e)"
UC5_R_13.1,"until (diff(r(i),y(i)) < e)"
UC5_R_13.2,"until (diff(setNL,observedNL) > NLmin)"
UC5_R_14.1,"until (diff(setNL,observedNL) < NLmin)"
UC5_R_14.2,"until (diff(setNL,observedNL) > NLmin)"
