requirement,fretish-timing
TSM-001,always
TSM-002,always
TSM-003_1,always
TSM-003_2,always
TSM-003_3,always
TSM-004,always
FSM-001,immediately
FSM-002,always
FSM-003,always
FSM-004,always
FSM-005,always
FSM-006,always
FSM-007,always
FSM-008,always
FSM-009,always
FSM-010,always
FSM-011,always
FSM-012,always
FSM-013,always
TUI-001,always
TUI-002,always
TUI-003,always
REG-001,always
REG-002,always
REG-003,always
REG-004,always
REG-005,always
REG-006,always
REG-007,always
REG-008,always
REG-009,always
REG-010,always
NLG-001,always
NLG-002,always
NLG-003,always
NLG-004,always
NLG-005,always
NLG-006,always
NLG-007,always
NN-001,always
NN-002,always
NN-003,for 200 secs
NN-004,for 200 secs
NN-005,for 200 secs
EB-001,always
EB-002,always
EB-004,always
AP-000,always
AP-001,always
AP-002_1,always
AP-002_2,always
AP-003a,immediately
AP-003b,immediately
AP-003c,immediately
AP-003d,always
AP-004a,always
AP-004b,always
AP-005,always
AP-006,always
AP-007,always
AP-008,always
AP-010a,always
AP-010b,always
SWIM-001a,always
SWIM-001b,always
SWIM-002,always
EUL-001,always
EUL-002,always
EUL-003,always
EUL-004,always
EUL-005,always
EUL-006,always
EUL-007,always
EUL-008,always
